epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,11384.1,0.23762,0.24151,0.79534,0.99743,0.99758,0.99499,0.991,0.15869,0.14568,0.84464,0.00020425,0.00020425,0.00020425
70,11546.1,0.24609,0.23955,0.79396,0.99587,0.99641,0.99485,0.99096,0.16032,0.17536,0.84572,0.000198063,0.000198063,0.000198063
71,11710.3,0.23824,0.23225,0.7953,0.99624,0.99618,0.99498,0.99081,0.16244,0.16733,0.84542,0.000191875,0.000191875,0.000191875
72,11873,0.23325,0.23072,0.79456,0.99679,0.99449,0.99496,0.99088,0.15736,0.17382,0.84539,0.000185688,0.000185688,0.000185688
73,12035.6,0.22688,0.22456,0.79122,0.99744,0.99702,0.99495,0.99074,0.15178,0.16828,0.84502,0.0001795,0.0001795,0.0001795
74,12197.4,0.23462,0.24158,0.79682,0.99777,0.99532,0.99498,0.99093,0.14958,0.16771,0.84393,0.000173313,0.000173313,0.000173313
75,12362.8,0.23763,0.23862,0.79867,0.99802,0.99542,0.99498,0.98948,0.16131,0.17052,0.8456,0.000167125,0.000167125,0.000167125
76,12523.4,0.22163,0.21907,0.79268,0.99671,0.99731,0.99499,0.99082,0.14676,0.14534,0.84394,0.000160938,0.000160938,0.000160938
77,12686.6,0.22055,0.22126,0.79286,0.99437,0.99732,0.99498,0.99083,0.14982,0.14755,0.84502,0.00015475,0.00015475,0.00015475
78,12847.2,0.22493,0.21866,0.79317,0.99594,0.99561,0.99497,0.99127,0.13686,0.1605,0.84405,0.000148563,0.000148563,0.000148563
79,13011.2,0.21801,0.21598,0.79233,0.99445,0.99599,0.99493,0.9921,0.14643,0.16005,0.84324,0.000142375,0.000142375,0.000142375
80,13184.5,0.21581,0.22089,0.79111,0.99417,0.99422,0.99473,0.99123,0.14393,0.14715,0.84342,0.000136187,0.000136187,0.000136187
81,13347.9,0.22307,0.22922,0.79122,0.99508,0.99404,0.99481,0.99046,0.15722,0.17549,0.84501,0.00013,0.00013,0.00013
82,13511.3,0.22,0.21519,0.79169,0.99826,0.99385,0.99497,0.99215,0.14881,0.15642,0.84274,0.000123812,0.000123812,0.000123812
83,13675.3,0.21979,0.222,0.79574,0.99714,0.99112,0.9949,0.99182,0.14034,0.15238,0.84251,0.000117625,0.000117625,0.000117625
